District,Year,Licensed Educators,Instructional Personnel,Classroom Teacher,Principal,Superintendent
Alamo,2019,47382,46263,44981,72798,100000
Alcoa,2019,67142,66716,63488,99302,112117
Anderson County,2019,51250,50739,47568,85202,137618
Arlington,2019,65939,64919,62232,107240,179250
Athens,2019,58168,57406,53701,99189,126284
Bartlett,2019,62079,61357,58358,114072,199100
Bedford County,2019,50774,50576,48884,80609,111180
Bells,2019,50131,49295,46970,73000,79667
Benton County,2019,49520,49139,46960,67182,95607
Bledsoe County,2019,54706,54080,51543,75094,109558
Blount County,2019,54728,54404,52220,89528,131480
Bradford,2019,47700,46102,43589,77682,91993
Bradley County,2019,54783,54490,52401,83538,149390
Bristol,2019,58230,57577,54767,99804,149519
Campbell County,2019,51820,51662,49138,73378,116355
Cannon County,2019,48958,48728,46608,70302,88800
Carroll County,2019,52159,47752,43118,71595,100630
Carter County,2019,47331,47187,45247,64302,95993
Cheatham County,2019,48695,48310,46157,80212,130000
Chester County,2019,47905,47342,45116,73689,107375
Claiborne County,2019,49009,48483,46234,72754,101460
Clay County,2019,49489,48700,46659,66129,81243
Cleveland,2019,58294,57936,54577,100227,153000
Clinton,2019,52510,50762,48682,67425,103508
Countycke County,2019,50616,50015,47628,77455,127690
Countyffee County,2019,50297,49864,47702,73673,123344
Countyllierville,2019,61193,60571,57874,107509,188700
Crockett County,2019,49957,49254,47000,69746,114450
Cumberland County,2019,47356,47156,44929,76166,107100
Davidson County,2019,56123,55837,52217,107899,337200
Dayton,2019,51438,51186,50296,67650,51100
Decatur County,2019,50176,49637,47932,73897,96000
Dekalb County,2019,46726,46489,44680,68361,90000
Dickson County,2019,49564,49281,47219,78311,135400
Dyer County,2019,53823,53463,51002,85856,122542
Dyersburg,2019,56397,55649,53571,88893,144000
Elizabethton,2019,51536,51045,49012,78789,116216
Etowah,2019,54362,53151,49333,82301,62175
Fayette County Public Schools,2019,47106,46690,44514,67568,125000
Fayetteville,2019,55392,54832,50528,84250,121708
Fentress County,2019,48243,47800,45380,67486,92148
Franklin,2019,64035,63060,60165,114796,202615
Franklin County,2019,51202,50829,48912,79060,111539
Germantown,2019,62504,61515,58543,112506,174664
Gibson County. Spec.,2019,50701,50143,47372,80078,112453
Giles County,2019,49245,48770,46689,78705,110040
Grainger County,2019,49874,49615,47345,71216,99562
Greene County,2019,50760,50462,48572,72930,109166
Greeneville,2019,56739,56129,53149,91782,141400
Grundy County,2019,45055,44566,42655,64173,85000
Hamblen County,2019,53486,53305,51470,86241,153000
Hamilton County,2019,55864,55560,52649,96108,202437
Hancock County,2019,47032,45814,43584,62079,85200
Hardeman County Schools,2019,50994,50598,48194,74955,112071
Hardin County,2019,47873,47532,45338,65569,95210
Hawkins County,2019,47683,47476,45683,66888,93948
Haywood County,2019,48002,47375,44321,77713,113610
Henderson County,2019,50529,50180,48081,71754,105000
Henry County,2019,52790,52467,50120,80041,125400
Hickman County,2019,48328,47969,45547,75838,104000
Hollow Rock - Bruceton,2019,48791,47887,45717,70063,99376
Houston County,2019,52520,52001,48945,72039,94526
Humboldt,2019,50041,48691,44643,78168,133650
Humphreys County,2019,48981,48809,46783,67433,93340
Huntingdon,2019,52780,51954,50217,77943,100387
Jackson County,2019,49612,49179,46798,69232,82277
Jefferson County,2019,49868,49633,47458,76150,125000
Johnson City,2019,63191,62663,60292,102634,148600
Johnson County,2019,46822,46363,44052,67392,99755
Kingsport,2019,60747,60220,57723,99667,159000
Knox County,2019,53911,53470,50504,99902,207200
Lake County,2019,45555,44901,42176,68209,97850
Lakeland,2019,60843,59742,57680,106838,153000
Lauderdale County,2019,49530,49000,46427,81221,124848
Lawrence County,2019,51732,51331,49116,79117,125214
Lebanon,2019,60069,59610,56352,95227,148055
Lenoir City,2019,58050,57575,53832,94516,136516
Lewis County,2019,50600,50029,47737,73614,128000
Lexington,2019,49627,48895,45284,71606,95000
Lincoln County,2019,51952,51319,48977,83833,141348
Loudon County,2019,53579,53153,49736,90104,134760
Macon County,2019,50110,49803,47590,76694,94571
Madison County,2019,53143,52955,50272,90210,175350
Manchester,2019,54744,53829,51726,75548,122040
Marion County,2019,51600,50946,48733,74956,165800
Marshall County,2019,52876,52647,50417,80927,120993
Maryville,2019,67052,66220,64330,110044,180000
Maury County,2019,52399,52130,49812,91007,180000
Mckenzie,2019,51848,51271,49306,78634,92533
Mcminn County,2019,52372,52152,49846,80751,116840
Mcnairy County,2019,48703,48351,46520,77328,101885
Meigs County,2019,54046,53675,50777,76123,107400
Milan,2019,50250,49693,46919,91061,110836
Millington,2019,59593,58847,55778,108151,145500
Monroe County,2019,50120,49856,47991,72384,103399
Montgomery County,2019,56698,56536,53549,103658,169983
Moore County,2019,53420,52592,50289,77922,94030
Morgan County,2019,49256,48551,46563,74679,100294
Murfreesboro,2019,57753,57546,55006,91951,123794
Newport,2019,50502,49824,48445,65703,92000
Oak Ridge,2019,69188,68791,66004,103264,197423
Obion County,2019,50417,50129,48299,72339,119200
Oneida,2019,49523,48985,46642,77985,90683
Overton County,2019,45990,45716,43985,62046,82257
Paris,2019,54525,54039,51544,89550,109151
Perry County,2019,51901,51160,48162,69577,109450
Pickett County,2019,51763,50825,48182,65022,88120
Polk County,2019,55525,55074,52749,77269,110766
Putnam County,2019,51984,51751,49427,78637,109930
Rhea County,2019,47795,47512,45059,78126,116886
Richard City,2019,45915,44841,44146,61355,67400
Roane County,2019,54125,54032,51659,80754,83077
Robertson County,2019,49565,49171,47174,79848,132600
Rogersville,2019,54425,53443,51138,87802,106923
Rutherford County,2019,55444,55257,53094,97242,156316
Scott County,2019,47988,47573,45771,65619,87319
Sequatchie County,2019,50647,50176,48382,75430,104136
Sevier County,2019,55160,54774,52711,94243,157514
Shelby County,2019,60813,61013,57258,112855,300656
Smith County,2019,47062,46393,43569,68136,147443
South Carroll,2019,50073,50073,47289,65000,96266
State Average,2019,53974,53654,50998,88338,121507
Stewart County,2019,52092,51809,49035,73409,102714
Sullivan County,2019,50620,50317,48852,76841,137642
Sumner County,2019,49975,50378,47952,87270,197439
Sweetwater,2019,55179,54802,52625,75272,97470
Tipton County,2019,54322,53944,51828,84677,139000
Trenton,2019,50955,50437,47390,77535,105785
Trousdale County,2019,52211,51617,48319,87917,101950
Tullahoma,2019,55578,54992,52685,90983,158000
Unicoi County,2019,49063,48744,46543,66773,113950
Union City,2019,54178,53217,51039,85863,125635
Union County,2019,47031,46665,44202,73005,103290
Van Buren County,2019,52631,52156,49716,74494,87495
Warren County,2019,48141,47943,46115,73576,106596
Washington County,2019,50593,50174,48840,67074,130395
Wayne County,2019,49519,49275,47320,69615,101127
Weakley County,2019,48438,48089,45933,75337,135707
West Carroll Sp Dist,2019,48539,47939,45841,71067,97440
White County,2019,52603,52299,50756,69963,93069
Williamson County,2019,54606,54410,51225,115773,270504
Wilson County,2019,51358,51006,48192,90375,178000
