,District Number,District Name,Overall Composite,Literacy Composite,Numeracy Composite,Literacy and Numeracy Composite,Social Studies Composite,subgroup,valid_tests,participation_rate,average_english_score,average_math_score,average_reading_score,average_science_score,average_composite_score,number_scoring_21_or_higher,percent_scoring_21_or_higher,number_scoring_below_19,percent_scoring_below_19,Licensed Educators,Instructional Personnel,Classroom Teacher,Principal,Superintendent
0,10,Anderson County,5,5.0,5,5,1.0,All Students,527.0,100.0,19.0,18.7,19.9,19.6,19.5,198.0,37.6,254.0,48.2,52521.0,51957.0,48515.0,89789.0,156000.0
1,11,Clinton,5,3.0,5,5,5.0,,,,,,,,,,,,,,,,,
2,12,Oak Ridge,5,5.0,5,5,1.0,All Students,272.0,97.0,23.0,22.2,24.2,23.2,23.3,175.0,64.3,65.0,23.9,70097.0,69567.0,66926.0,96667.0,202359.0
3,20,Bedford County,2,3.0,1,1,5.0,All Students,557.0,97.0,18.2,18.4,19.3,19.2,18.9,184.0,33.0,306.0,54.9,52017.0,51891.0,49949.0,81366.0,116360.0
4,30,Benton County,3,2.0,4,3,5.0,All Students,148.0,97.0,17.9,18.5,19.3,19.8,19.0,42.0,28.4,79.0,53.4,50247.0,49861.0,47737.0,68095.0,97857.0
5,40,Bledsoe County,2,3.0,3,3,1.0,All Students,108.0,96.0,17.7,18.0,18.5,18.5,18.3,32.0,29.6,62.0,57.4,54766.0,54298.0,51780.0,71830.0,109791.0
6,50,Blount County,1,1.0,1,1,5.0,All Students,726.0,98.0,19.1,19.1,19.7,19.3,19.4,270.0,37.2,356.0,49.0,56165.0,55962.0,53549.0,91147.0,143622.0
7,51,Alcoa,5,2.0,5,5,3.0,All Students,170.0,100.0,21.1,20.0,21.6,20.9,21.1,91.0,53.5,56.0,32.9,68433.0,67883.0,65064.0,99617.0,121717.0
8,52,Maryville City,5,5.0,5,5,5.0,All Students,394.0,99.0,23.6,22.8,23.6,23.3,23.5,276.0,70.1,80.0,20.3,69444.0,68689.0,66863.0,112224.0,185200.0
9,60,Bradley County,1,1.0,2,1,1.0,All Students,772.0,100.0,20.0,19.5,20.8,20.0,20.2,360.0,46.6,321.0,41.6,55768.0,55505.0,53370.0,85044.0,152236.0
10,61,Cleveland,4,5.0,1,3,5.0,All Students,356.0,96.0,19.8,19.6,21.3,20.6,20.5,161.0,45.2,154.0,43.3,58752.0,57932.0,54823.0,99284.0,155118.0
11,70,Campbell County,3,4.0,5,5,1.0,All Students,370.0,100.0,17.6,17.4,19.0,17.8,18.1,102.0,27.6,210.0,56.8,52378.0,52130.0,49710.0,75606.0,117405.0
12,80,Cannon County,1,3.0,1,1,1.0,All Students,125.0,95.0,17.5,18.1,19.0,19.3,18.7,39.0,31.2,65.0,52.0,50154.0,49920.0,47584.0,70621.0,89800.0
13,92,Hollow Rock - Bruceton,1,2.0,2,1,1.0,All Students,42.0,98.0,18.5,18.4,18.7,19.0,18.8,13.0,31.0,22.0,52.4,50542.0,49548.0,47427.0,71347.0,104376.0
14,93,Huntingdon Special School District,1,2.0,1,1,5.0,All Students,78.0,100.0,20.5,20.1,21.0,20.8,20.7,38.0,48.7,29.0,37.2,,,,,
15,94,McKenzie,5,3.0,4,3,5.0,All Students,109.0,100.0,20.3,19.5,21.0,20.6,20.5,52.0,47.7,44.0,40.4,,,,,
16,95,South Carroll,1,3.0,1,1,1.0,All Students,17.0,100.0,20.6,19.3,19.8,21.4,20.4,8.0,47.1,6.0,35.3,51086.0,51086.0,49161.0,67790.0,98191.0
17,97,West Carroll Sp Dist,1,1.0,1,1,1.0,All Students,65.0,100.0,20.1,18.3,19.6,19.2,19.5,24.0,36.9,30.0,46.2,48945.0,48291.0,46356.0,71200.0,102370.0
18,100,Carter County,5,3.0,5,5,5.0,All Students,322.0,99.0,17.6,17.8,18.8,18.5,18.4,99.0,30.7,174.0,54.0,48146.0,47985.0,46183.0,65239.0,96000.0
19,101,Elizabethton,3,2.0,3,2,5.0,All Students,175.0,99.0,20.7,19.9,21.8,20.0,20.8,88.0,50.3,62.0,35.4,53023.0,52442.0,50349.0,82153.0,118787.0
20,110,Cheatham County,3,4.0,3,3,3.0,All Students,397.0,97.0,18.9,18.9,20.2,19.7,19.6,153.0,38.5,184.0,46.3,49436.0,49011.0,47086.0,74919.0,135000.0
21,120,Chester County,5,4.0,5,5,2.0,All Students,199.0,95.0,20.1,19.7,20.3,20.1,20.2,76.0,38.2,79.0,39.7,48330.0,47797.0,45351.0,77179.0,109465.0
22,130,Claiborne County,3,3.0,3,3,3.0,All Students,250.0,94.0,18.1,18.5,19.1,19.0,18.8,75.0,30.0,134.0,53.6,49887.0,49247.0,47018.0,74009.0,106500.0
23,140,Clay County,2,3.0,1,2,1.0,All Students,77.0,89.0,19.0,18.5,18.5,19.3,18.9,25.0,32.5,40.0,51.9,51734.0,51054.0,48330.0,68839.0,83165.0
24,150,Cocke County,1,1.0,1,1,2.0,All Students,351.0,99.0,17.5,18.1,19.1,18.6,18.5,105.0,29.9,198.0,56.4,,,,,
25,151,Newport,1,2.0,1,1,5.0,,,,,,,,,,,,,,,,,
26,160,Coffee County,1,3.0,1,1,1.0,All Students,383.0,98.0,18.9,18.8,20.0,19.5,19.4,143.0,37.3,185.0,48.3,,,,,
27,161,Manchester,1,2.0,1,1,3.0,,,,,,,,,,,,,,,,,
28,162,Tullahoma,2,3.0,3,3,1.0,All Students,224.0,98.0,19.8,20.1,20.5,20.4,20.4,97.0,43.3,97.0,43.3,55781.0,55781.0,53136.0,94114.0,165000.0
29,170,Crockett County,1,1.0,1,1,5.0,All Students,211.0,100.0,18.1,18.2,19.7,18.5,18.8,69.0,32.7,115.0,54.5,50317.0,49562.0,47324.0,69644.0,114000.0
30,171,Alamo,5,5.0,5,5,4.0,,,,,,,,,,,,,,,,,
31,172,Bells,3,3.0,3,3,,,,,,,,,,,,,,,,,,
