District Number,District Name,Year,Overall Composite,Literacy Composite,Numeracy Composite,Literacy and Numeracy Composite,Social Studies Composite
171,Alamo City School District,2019,5,5,5,5,4
51,Alcoa City School District,2019,5,2,5,5,3
10,Anderson County School District,2019,5,5,5,5,1
793,Arlington Community School District,2019,1,1,3,1,1
541,Athens City Schools,2019,5,3,5,5,4
794,Bartlett City School District,2019,5,5,5,5,5
20,Bedford County School District,2019,2,3,1,1,5
172,Bells City School District,2019,3,3,3,3,NA
30,Benton County School District,2019,3,2,4,3,5
40,Bledsoe County School District,2019,2,3,3,3,1
50,Blount County School District,2019,1,1,1,1,5
274,Bradford Special School District,2019,3,1,3,2,5
60,Bradley County School District,2019,1,1,2,1,1
821,Bristol City School District,2019,5,5,5,5,5
70,Campbell County School District,2019,3,4,5,5,1
80,Cannon County School District,2019,1,3,1,1,1
100,Carter County School District,2019,5,3,5,5,5
110,Cheatham County School District,2019,3,4,3,3,3
120,Chester County School District,2019,5,4,5,5,2
130,Claiborne County School District,2019,3,3,3,3,3
140,Clay County School District,2019,2,3,1,2,1
61,Cleveland City School District,2019,4,5,1,3,5
11,Clinton City School District,2019,5,3,5,5,5
150,Cocke County School District,2019,1,1,1,1,2
160,Coffee County School District,2019,1,3,1,1,1
795,Collierville School District,2019,5,5,5,5,5
170,Crockett County School District,2019,1,1,1,1,5
180,Cumberland County School District,2019,3,5,2,3,2
190,Metropolitan Nashville Public School District,2019,3,4,5,5,1
721,Dayton City Elementary School District,2019,5,5,5,5,4
200,Decatur County School District,2019,3,2,4,3,2
210,DeKalb County School District,2019,1,1,2,1,1
220,Dickson County School District,2019,5,3,5,4,5
230,Dyer County School District,2019,3,1,4,2,3
231,Dyersburg City School District,2019,5,3,5,4,5
101,Elizabethton City School District,2019,3,2,3,2,5
542,Etowah City School District,2019,5,4,5,5,1
240,Fayette County School District,2019,5,5,5,5,1
521,Fayetteville City School District,2019,3,3,5,5,1
250,Fentress County School District,2019,1,3,1,2,3
260,Franklin Special School District,2019,3,3,3,3,1
941,Franklin County School District,2019,5,1,5,3,5
796,Germantown Municipal School District,2019,5,4,3,3,5
275,Gibson County School District,2019,5,4,5,5,3
280,Giles County School District,2019,3,3,3,3,2
290,Grainger County School District,2019,3,5,3,3,2
300,Greene County School District,2019,5,5,5,5,5
301,Greeneville City School District,2019,2,1,2,1,3
310,Grundy County School District,2019,4,3,3,3,5
320,Hamblen County School District,2019,5,3,5,5,5
330,Hamilton County School District,2019,5,5,5,5,5
340,Hancock County School District,2019,1,3,1,1,5
350,Hardeman County School District,2019,1,1,1,1,1
360,Hardin County School District,2019,5,1,5,4,5
370,Hawkins County School District,2019,1,1,1,1,1
380,Haywood County School District,2019,2,3,1,2,2
390,Henderson County School District,2019,5,5,5,5,3
400,Henry County School District,2019,3,2,3,3,3
410,Hickman County School District,2019,1,1,1,1,3
92,Hollow Rock-Bruceton Special School District,2019,1,2,2,1,1
420,Houston County School District,2019,1,4,1,1,3
271,Humboldt City School District,2019,1,1,1,1,2
430,Humphreys County School District,2019,1,5,1,1,1
93,Huntingdon Special School District,2019,1,2,1,1,5
440,Jackson County School District,2019,1,1,1,1,1
450,Jefferson County School District,2019,5,5,3,5,3
901,Johnson City School District,2019,5,3,5,5,5
460,Johnson County School District,2019,4,2,3,3,5
822,Kingsport City School District,2019,5,5,5,5,5
470,Knox County School District,2019,5,5,1,3,5
480,Lake County School District,2019,3,3,3,3,3
797,Lakeland School System District,2019,5,5,5,5,5
490,Lauderdale County School District,2019,1,1,1,1,3
500,Lawrence County School District,2019,1,1,3,1,1
951,Lebanon Special School District,2019,1,2,1,1,5
531,Lenoir City School District,2019,5,5,5,5,1
510,Lewis County School District,2019,1,3,1,1,1
391,Lexington City School District,2019,3,3,3,3,4
520,Lincoln County School District,2019,3,3,2,3,2
530,Loudon County School District,2019,5,3,5,5,3
560,Macon County School District,2019,3,3,1,1,5
570,Jackson-Madison County School System,2019,1,1,1,1,1
161,Manchester City School District,2019,1,2,1,1,3
580,Marion County School District,2019,1,2,1,1,2
590,Marshall County School District,2019,1,3,3,3,1
52,Maryville City School District,2019,5,5,5,5,5
600,Maury County School District,2019,1,1,1,1,1
94,McKenzie Special School District,2019,5,3,4,3,5
540,McMinn County School District,2019,3,1,2,1,5
550,McNairy County School District,2019,1,2,2,2,1
610,Meigs County School District,2019,1,2,1,1,3
272,Milan Special School District,2019,3,1,3,3,5
798,Millington Municipal School District,2019,1,3,1,1,1
620,Monroe County School District,2019,5,4,4,5,5
630,Clarksville-Montgomery County School System,2019,1,1,1,1,5
640,Moore County School District,2019,3,3,3,3,5
650,Morgan County School District,2019,1,2,1,1,1
751,Murfreesboro City School District,2019,5,5,5,5,4
151,Newport City School District,2019,1,2,1,1,5
12,Oak Ridge City School District,2019,5,5,5,5,1
660,Obion County School District,2019,1,1,2,1,2
761,Oneida Special School District,2019,4,2,3,3,5
670,Overton County School District,2019,1,1,2,1,3
401,Paris Special School District,2019,5,3,5,5,4
680,Perry County School District,2019,1,1,1,1,1
690,Pickett County School District,2019,2,2,3,2,3
700,Polk County School District,2019,5,3,4,3,5
710,Putnam County School District,2019,2,5,1,3,1
