District Number,School Number,District Name,School Name,Overall Composite,Literacy Composite,Numeracy Composite,Literacy and Numeracy Composite,Social Studies Composite
10,2,Anderson County,Anderson County High School,5,4,5,5,3
10,5,Anderson County,Andersonville Elementary,5,5,5,5,NA
10,10,Anderson County,Briceville Elementary,4,4,3,4,NA
10,15,Anderson County,Claxton Elementary,4,4,3,4,NA
10,20,Anderson County,Clinton Middle School,1,1,2,1,1
10,25,Anderson County,Clinton High School,4,5,1,3,5
10,35,Anderson County,Dutch Valley Elementary,2,3,1,2,NA
10,40,Anderson County,Fairview Elementary,5,4,5,5,NA
10,46,Anderson County,Grand Oaks Elementary,5,5,5,5,NA
10,50,Anderson County,Lake City Elementary,3,3,3,3,NA
10,55,Anderson County,Lake City Middle School,5,4,5,5,5
10,70,Anderson County,Norris Elementary,2,1,3,2,NA
10,75,Anderson County,Norris Middle School,4,4,5,5,1
10,80,Anderson County,Norwood Elementary,4,4,3,4,NA
10,85,Anderson County,Norwood Middle School,4,4,4,5,3
11,5,Clinton,Clinton Elementary,5,3,5,4,5
11,10,Clinton,North Clinton Elementary,3,2,3,3,NA
11,15,Clinton,South Clinton Elementary,3,3,3,3,4
12,15,Oak Ridge,Glenwood Elementary,3,3,4,3,NA
12,25,Oak Ridge,Jefferson Middle School,5,5,5,5,2
12,30,Oak Ridge,Linden Elementary,3,3,3,3,NA
12,35,Oak Ridge,Oak Ridge High School,5,5,4,5,4
12,40,Oak Ridge,Robertsville Middle School,4,3,5,5,1
12,45,Oak Ridge,Willow Brook Elementary,2,1,3,2,NA
12,50,Oak Ridge,Woodland Elementary,5,5,5,5,NA
20,12,Bedford County,Cascade Elementary,2,1,3,2,NA
20,13,Bedford County,Cascade High School,1,4,1,1,5
20,15,Bedford County,Eakin Elementary,1,1,1,1,NA
20,17,Bedford County,Cascade Middle School,3,3,3,3,3
20,20,Bedford County,Shelbyville Central High School,5,5,4,5,5
20,25,Bedford County,Harris Middle School,4,4,3,3,4
20,33,Bedford County,Community Elementary School,1,1,3,1,NA
20,35,Bedford County,Community High School,3,3,3,3,1
20,37,Bedford County,Community Middle School,4,3,2,3,5
20,39,Bedford County,Learning Way Elementary,3,5,2,3,NA
20,40,Bedford County,East Side Elementary,2,3,1,2,NA
20,53,Bedford County,Liberty Elementary,2,3,3,3,1
20,75,Bedford County,South Side Elementary,1,1,2,1,NA
20,78,Bedford County,Thomas Magnet Elementary School,3,3,3,3,NA
30,10,Benton County,Big Sandy School,3,3,2,3,3
30,15,Benton County,Briarwood School,4,3,4,4,NA
30,25,Benton County,Camden Central High School,3,1,4,3,3
30,27,Benton County,Camden Jr High School,4,1,3,2,5
30,30,Benton County,Holladay Elementary,2,3,3,3,2
40,5,Bledsoe County,Bledsoe County High School,4,3,5,4,4
40,6,Bledsoe County,Bledsoe County Middle School,1,3,1,1,1
40,10,Bledsoe County,Cecil B Rigsby Elementary,1,1,1,1,NA
40,25,Bledsoe County,Mary V Wheeler Elementary,4,3,5,4,NA
40,30,Bledsoe County,Pikeville Elementary,5,4,4,5,NA
50,22,Blount County,Carpenters Elementary School,2,2,3,2,NA
50,23,Blount County,Carpenters Middle School,4,1,4,3,5
50,30,Blount County,Eagleton Middle School,1,1,3,1,1
50,43,Blount County,Eagleton Elementary,3,2,3,3,NA
50,45,Blount County,Fairview Elementary,1,2,1,1,NA
50,55,Blount County,Friendsville Elementary,5,5,3,5,NA
50,61,Blount County,Heritage Middle School,1,1,1,1,5
50,63,Blount County,Heritage High School,4,3,3,3,5
50,70,Blount County,Lanier Elementary,3,3,3,3,NA
50,84,Blount County,Union Grove Middle School,1,1,1,1,4
50,90,Blount County,Mary Blount Elementary,5,5,3,5,NA
50,93,Blount County,Middlesettlements,5,5,5,5,NA
50,94,Blount County,Montvale Elementary,4,4,4,4,NA
50,95,Blount County,Porter Elementary,4,3,4,4,NA
50,110,Blount County,Rockford Elementary,5,5,3,5,NA
50,123,Blount County,Samuel Everett School of Innovation,1,1,1,1,2
50,125,Blount County,Townsend Elementary,4,3,5,4,NA
50,138,Blount County,Union Grove Elementary School,4,3,5,4,NA
50,145,Blount County,Walland Elementary School,3,5,2,3,NA
50,155,Blount County,William Blount High School,3,1,3,2,5
50,160,Blount County,Prospect Elementary School,5,5,4,5,NA
51,6,Alcoa,Alcoa Middle School,5,1,5,4,3
51,10,Alcoa,Alcoa High School,4,3,5,4,NA
51,12,Alcoa,Alcoa Intermediate School,5,5,5,5,NA
52,10,Maryville City,John Sevier Elementary,4,3,4,4,NA
52,15,Maryville City,Maryville High School,5,5,5,5,5
52,18,Maryville City,Montgomery Ridge Intermediate School,4,3,4,4,5
52,20,Maryville City,Maryville Junior High School,5,5,4,5,5
52,25,Maryville City,Sam Houston Elementary,5,5,5,5,NA
52,30,Maryville City,Foothills Elementary,5,5,5,5,NA
52,35,Maryville City,Coulter Grove Intermediate School,5,5,4,5,5
60,10,Bradley County,Black Fox Elementary School,1,2,1,1,NA
60,18,Bradley County,Ocoee Middle School,1,1,1,1,2
60,20,Bradley County,Bradley Central High School,3,3,4,3,3
60,30,Bradley County,Charleston Elementary School,5,3,5,5,NA
60,40,Bradley County,Hopewell Elementary School,3,3,3,3,NA
60,50,Bradley County,Michigan Avenue Elementary School,4,3,4,4,NA
60,55,Bradley County,North Lee Elementary School,3,3,3,3,NA
60,60,Bradley County,Oak Grove Elementary School,5,4,5,5,NA
60,65,Bradley County,Prospect Elementary School,1,3,1,1,NA
60,70,Bradley County,Taylor Elementary School,1,1,2,1,NA
60,72,Bradley County,Lake Forest Middle School,1,1,1,1,2
60,75,Bradley County,Valley View Elementary School,2,3,2,2,NA
60,78,Bradley County,Walker Valley High School,3,1,5,5,1
60,100,Bradley County,Waterville Community Elementary School,1,1,1,1,NA
60,102,Bradley County,Park View Elementary School,5,3,5,5,NA
60,105,Bradley County,Bradley County Virtual School,1,3,1,1,3
61,10,Cleveland,Arnold Memorial Elementary,3,5,2,3,NA
61,12,Cleveland,Blythe-Bower Elementary,4,4,3,4,NA
61,18,Cleveland,Cleveland Middle,5,5,3,5,5
61,20,Cleveland,Cleveland High,2,5,1,2,3
61,22,Cleveland,E.L. Ross Elementary,2,3,1,2,NA
61,25,Cleveland,G.R. Stuart Elementary,3,3,3,3,NA
61,30,Cleveland,Mayfield Elementary,3,5,1,3,NA
70,3,Campbell County,Campbell County Comprehensive High School,1,3,1,1,5
70,5,Campbell County,Caryville Elementary,1,2,2,1,NA
70,40,Campbell County,Elk Valley Elementary,2,3,2,3,2
70,60,Campbell County,Jacksboro Elementary,5,5,5,5,NA
70,65,Campbell County,Jacksboro Middle School,4,5,5,5,1
70,70,Campbell County,Jellico Elementary,4,3,5,4,3
70,75,Campbell County,Jellico High School,5,5,3,5,5
70,77,Campbell County,LaFollette Elementary School,3,1,5,3,NA
70,80,Campbell County,Lafollette Middle School,1,2,4,3,1
70,135,Campbell County,Valley View Elementary,4,5,3,4,NA
70,140,Campbell County,White Oak Elementary,4,4,3,4,3
70,150,Campbell County,Wynn Habersham Elementary,4,3,5,4,2
80,5,Cannon County,Auburn Elementary,3,3,3,3,2
80,16,Cannon County,Cannon County High School,1,3,1,1,1
80,20,Cannon County,East Side Elementary,4,3,4,4,5
80,30,Cannon County,Short Mountain Elementary,3,4,1,3,2
80,35,Cannon County,West Side Elementary,3,3,3,3,5
80,40,Cannon County,Woodbury Grammar,3,3,3,3,3
80,45,Cannon County,Woodland Elementary,2,3,2,3,1
92,5,Hollow Rock - Bruceton,Central Elementary,1,3,1,1,NA
92,10,Hollow Rock - Bruceton,Central High School,1,2,3,3,1
93,5,Huntingdon Special School District,Huntingdon Middle School,1,2,1,1,5
93,10,Huntingdon Special School District,Huntingdon High School,1,3,1,2,1
93,15,Huntingdon Special School District,Huntingdon Primary,2,2,3,2,NA
94,5,McKenzie,McKenzie Elementary,3,3,3,3,NA
94,10,McKenzie,McKenzie High School,4,3,3,4,NA
94,15,McKenzie,McKenzie Middle School,4,3,4,3,5
95,5,South Carroll,Clarksburg School,1,3,1,1,1
97,5,West Carroll Sp Dist,West Carroll Junior/Senior High School,1,1,1,1,1
97,25,West Carroll Sp Dist,West Carroll Elementary School,2,3,2,3,1
100,5,Carter County,Central Elementary,5,4,5,5,3
100,13,Carter County,Cloudland Elementary School,5,4,5,5,5
100,15,Carter County,Cloudland High School,5,3,5,5,3
100,25,Carter County,Hampton Elementary,4,2,5,5,2
100,30,Carter County,Hampton High School,2,2,2,1,4
100,35,Carter County,Happy Valley Elementary,5,4,5,5,NA
100,40,Carter County,Happy Valley High School,3,1,5,3,3
100,43,Carter County,Happy Valley Middle School,5,3,5,5,5
100,45,Carter County,Hunter Elementary,5,4,5,5,5
100,50,Carter County,Keenburg Elementary,4,3,5,4,3
100,55,Carter County,Little Milligan,4,3,5,5,1
100,85,Carter County,Unaka Elementary,3,2,3,3,5
100,90,Carter County,Unaka High School,5,5,3,5,3
100,95,Carter County,Valley Forge Elementary,5,4,5,5,NA
101,10,Elizabethton,East Side Elementary,5,5,4,5,NA
101,15,Elizabethton,Elizabethton High School,1,1,1,1,1
101,20,Elizabethton,Harold McCormick Elementary,2,4,1,2,NA
101,25,Elizabethton,T A Dugger Junior High School,5,2,5,3,5
101,30,Elizabethton,West Side Elementary,4,4,3,4,NA
110,5,Cheatham County,Ashland City Elementary,3,1,5,3,NA
110,10,Cheatham County,Cheatham Co Central,4,3,2,3,5
110,14,Cheatham County,Cheatham Middle School,3,3,4,3,3
110,15,Cheatham County,East Cheatham Elementary,1,3,1,1,NA
110,18,Cheatham County,Harpeth Middle School,1,5,1,3,1
110,19,Cheatham County,Harpeth High School,5,4,5,5,5
110,20,Cheatham County,Kingston Springs Elementary,5,4,5,5,NA
110,25,Cheatham County,Pegram Elementary,1,3,1,1,NA
110,30,Cheatham County,Pleasant View Elementary,3,4,2,3,NA
110,32,Cheatham County,Sycamore Middle School,5,5,5,5,4
110,33,Cheatham County,Sycamore High School,3,3,1,1,5
110,35,Cheatham County,West Cheatham Elementary,1,1,1,1,NA
120,5,Chester County,Chester County Middle School,5,4,5,5,NA
120,8,Chester County,Chester County High School,5,2,5,4,5
120,10,Chester County,Chester County Junior High School,1,3,2,3,1
120,15,Chester County,East Chester Elementary School,1,3,1,1,NA
120,25,Chester County,Jacks Creek Elementary,4,4,3,4,NA
120,30,Chester County,W Chester Elementary School,3,4,3,3,NA
130,35,Claiborne County,Clairfield Elementary,2,3,2,3,3
130,45,Claiborne County,Ellen Myers Primary,1,1,1,1,NA
130,50,Claiborne County,Forge Ridge School,3,1,5,3,4
130,67,Claiborne County,H. Y. Livesay Middle School,5,4,5,5,5
130,90,Claiborne County,Midway Elementary,3,3,3,3,1
130,93,Claiborne County,Cumberland Gap High School,3,4,3,4,2
130,95,Claiborne County,Powell Valley Elementary,3,3,4,3,3
130,105,Claiborne County,Soldiers Memorial Middle School,1,3,1,2,1
130,110,Claiborne County,Claiborne High School,3,4,1,2,5
130,115,Claiborne County,Springdale Elementary,5,3,5,5,3
130,117,Claiborne County,Tazewell-New Tazewell Elementary,2,2,2,2,NA
